"","true_like","ml_like","ml_X1","ml_X2","ml_X3","ml_X4","true_X1","true_X2","true_X3","true_X4","M","N","z","run","seed","p","nbio","nevents"
"sub.1437",-245.663691986607,-245.663691986607,1,3,1,2,1,3,1,2,100,4,15,5,510085415,0.85,3,2
"sub.1537",-210.559127016834,-210.559127016834,1,1,1,1,1,1,1,1,100,4,16,5,510085416,0.85,3,2
"sub.1637",-242.847525760045,-242.847525760045,3,2,1,4,3,2,1,4,100,4,17,5,510085417,0.85,3,2
"sub.1737",-241.961155719635,-241.961155719635,1,3,1,2,1,3,1,2,100,4,18,5,510085418,0.85,3,2
"sub.1837",-229.217040088466,-229.217040088466,2,1,1,2,2,1,1,2,100,4,19,5,510085419,0.85,3,2
"sub.1937",-244.187417773179,-244.187417773179,1,1,1,2,1,1,1,2,100,4,20,5,510085420,0.85,3,2
"sub38",-232.174978187195,-232.174978187195,2,1,2,3,2,1,2,3,100,4,1,6,61008541,0.85,4,1
"sub.1154",-234.867115202301,-234.867115202301,1,1,1,1,1,1,1,1,100,4,2,6,61008542,0.85,4,1
"sub.238",-256.705289732746,-256.705289732746,2,4,1,3,2,4,1,3,100,4,3,6,61008543,0.85,4,1
"sub.338",-255.419221752855,-255.419221752855,1,1,2,3,1,1,2,3,100,4,4,6,61008544,0.85,4,1
"sub.438",-244.799417885006,-244.799417885006,3,1,2,3,3,1,2,3,100,4,5,6,61008545,0.85,4,1
"sub.538",-242.505265636417,-242.505265636417,4,1,3,2,4,1,3,2,100,4,6,6,61008546,0.85,4,1
"sub.638",-257.650534332163,-257.650534332163,2,3,1,1,2,3,1,1,100,4,7,6,61008547,0.85,4,1
"sub.738",-222.711293966692,-222.711293966692,1,2,1,1,1,2,1,1,100,4,8,6,61008548,0.85,4,1
"sub.838",-226.149152000951,-226.149152000951,1,1,1,1,1,1,1,1,100,4,9,6,61008549,0.85,4,1
"sub.938",-221.312244992111,-221.312244992111,2,1,1,3,2,1,1,3,100,4,10,6,610085410,0.85,4,1
"sub.1038",-240.956626103419,-240.073543686516,2,1,1,2,3,1,2,3,100,4,11,6,610085411,0.85,4,1
"sub.1155",-216.11317556928,-216.11317556928,1,1,1,1,1,1,1,1,100,4,12,6,610085412,0.85,4,1
"sub.1240",-239.871976763501,-239.871976763501,1,1,2,3,1,1,2,3,100,4,13,6,610085413,0.85,4,1
"sub.1338",-251.865736171082,-251.865736171082,2,1,2,3,2,1,2,3,100,4,14,6,610085414,0.85,4,1
"sub.1438",-243.705779030207,-243.705779030207,1,2,1,3,1,2,1,3,100,4,15,6,610085415,0.85,4,1
"sub.1538",-229.558959206955,-229.558959206955,1,1,1,1,1,1,1,1,100,4,16,6,610085416,0.85,4,1
"sub.1638",-246.543112599655,-246.374765937576,2,3,1,2,3,4,1,2,100,4,17,6,610085417,0.85,4,1
"sub.1738",-237.272627112015,-237.272627112015,1,2,2,2,1,2,2,2,100,4,18,6,610085418,0.85,4,1
"sub.1838",-229.625655013621,-229.625655013621,2,3,1,3,2,3,1,3,100,4,19,6,610085419,0.85,4,1
"sub.1938",-235.700473767937,-235.700473767937,2,2,3,1,2,2,3,1,100,4,20,6,610085420,0.85,4,1
"sub39",-219.421491904318,-219.421491904318,2,2,1,2,2,2,1,2,100,4,1,7,71008541,0.85,2,2
"sub.1156",-239.842906394681,-239.842906394681,2,3,1,1,2,3,1,1,100,4,2,7,71008542,0.85,2,2
"sub.239",-235.306452945741,-235.306452945741,1,1,1,1,1,1,1,1,100,4,3,7,71008543,0.85,2,2
"sub.339",-239.72540104825,-239.72540104825,1,3,2,1,1,3,2,1,100,4,4,7,71008544,0.85,2,2
"sub.439",-230.454849704884,-230.454849704884,2,2,1,2,2,2,1,2,100,4,5,7,71008545,0.85,2,2
"sub.539",-205.637861394169,-205.637861394169,1,1,1,1,1,1,1,1,100,4,6,7,71008546,0.85,2,2
"sub.639",-245.565779441675,-245.565779441675,3,2,4,1,3,2,4,1,100,4,7,7,71008547,0.85,2,2
"sub.739",-227.778760077559,-227.778760077559,1,2,3,1,1,2,3,1,100,4,8,7,71008548,0.85,2,2
"sub.839",-240.974380489885,-240.974380489885,3,1,2,3,3,1,2,3,100,4,9,7,71008549,0.85,2,2
"sub.939",-253.164328466699,-249.813470733395,1,2,3,4,1,3,2,4,100,4,10,7,710085410,0.85,2,2
"sub.1039",-233.488513133129,-233.488513133129,2,1,1,2,2,1,1,2,100,4,11,7,710085411,0.85,2,2
"sub.1157",-242.331042129368,-242.331042129368,1,2,2,1,1,2,2,1,100,4,12,7,710085412,0.85,2,2
"sub.1241",-248.348263261089,-248.348263261089,4,2,1,3,4,2,1,3,100,4,13,7,710085413,0.85,2,2
"sub.1339",-228.444020480172,-228.444020480172,2,1,2,2,2,1,2,2,100,4,14,7,710085414,0.85,2,2
"sub.1439",-247.188428242975,-247.188428242975,1,2,3,3,1,2,3,3,100,4,15,7,710085415,0.85,2,2
"sub.1539",-241.795297721707,-241.795297721707,1,2,1,2,1,2,1,2,100,4,16,7,710085416,0.85,2,2
"sub.1639",-228.486838533733,-228.486838533733,1,1,1,1,1,1,1,1,100,4,17,7,710085417,0.85,2,2
"sub.1739",-229.951246976481,-229.951246976481,1,2,2,2,1,2,2,2,100,4,18,7,710085418,0.85,2,2
"sub.1839",-245.430016622714,-245.430016622714,2,4,1,3,2,4,1,3,100,4,19,7,710085419,0.85,2,2
"sub.1939",-247.740404152531,-247.740404152531,1,3,1,2,1,3,1,2,100,4,20,7,710085420,0.85,2,2
"sub40",-231.006319723041,-231.006319723041,2,2,2,1,2,2,2,1,100,4,1,8,81008541,0.85,2,2
"sub.1158",-240.191185959632,-240.191185959632,1,3,2,2,1,3,2,2,100,4,2,8,81008542,0.85,2,2
"sub.240",-238.703036010665,-238.703036010665,1,2,3,1,1,2,3,1,100,4,3,8,81008543,0.85,2,2
"sub.340",-233.262507297367,-233.262507297367,1,1,2,2,1,1,2,2,100,4,4,8,81008544,0.85,2,2
"sub.440",-235.578682789229,-235.578682789229,1,2,1,1,1,2,1,1,100,4,5,8,81008545,0.85,2,2
"sub.540",-235.795167334289,-235.795167334289,2,3,1,4,2,3,1,4,100,4,6,8,81008546,0.85,2,2
"sub.640",-244.971810229555,-244.971810229555,2,1,3,1,2,1,3,1,100,4,7,8,81008547,0.85,2,2
"sub.740",-236.560442504331,-236.560442504331,2,2,1,2,2,2,1,2,100,4,8,8,81008548,0.85,2,2
"sub.840",-242.582584519524,-242.582584519524,1,3,2,2,1,3,2,2,100,4,9,8,81008549,0.85,2,2
"sub.940",-232.008799079861,-232.008799079861,2,1,2,3,2,1,2,3,100,4,10,8,810085410,0.85,2,2
"sub.1040",-238.067932695642,-238.067932695642,1,2,1,2,1,2,1,2,100,4,11,8,810085411,0.85,2,2
"sub.1159",-244.69374165081,-244.69374165081,1,3,2,4,1,3,2,4,100,4,12,8,810085412,0.85,2,2
"sub.1242",-250.829637762373,-250.829637762373,3,2,1,4,3,2,1,4,100,4,13,8,810085413,0.85,2,2
"sub.1340",-232.529428669518,-232.529428669518,1,1,1,1,1,1,1,1,100,4,14,8,810085414,0.85,2,2
"sub.1440",-236.259108752328,-236.259108752328,1,1,2,2,1,1,2,2,100,4,15,8,810085415,0.85,2,2
"sub.1540",-249.649641247261,-249.649641247261,1,3,2,4,1,3,2,4,100,4,16,8,810085416,0.85,2,2
"sub.1640",-239.531423719878,-239.531423719878,1,2,3,2,1,2,3,2,100,4,17,8,810085417,0.85,2,2
"sub.1740",-255.801763890259,-255.801763890259,1,1,1,2,1,1,1,2,100,4,18,8,810085418,0.85,2,2
"sub.1840",-243.699896340071,-243.699896340071,3,2,1,2,3,2,1,2,100,4,19,8,810085419,0.85,2,2
"sub.1940",-243.498630744084,-243.498630744084,2,3,1,3,2,3,1,3,100,4,20,8,810085420,0.85,2,2
"sub41",-241.76365950194,-241.76365950194,1,2,1,2,1,2,1,2,100,4,1,9,91008541,0.85,3,2
"sub.1160",-213.529596479397,-213.529596479397,1,1,1,1,1,1,1,1,100,4,2,9,91008542,0.85,3,2
"sub.241",-237.956724027079,-237.956724027079,1,2,1,1,1,2,1,1,100,4,3,9,91008543,0.85,3,2
"sub.341",-245.049662139006,-245.049662139006,2,3,4,1,2,3,4,1,100,4,4,9,91008544,0.85,3,2
"sub.441",-250.612750612101,-250.612750612101,3,1,2,4,3,1,2,4,100,4,5,9,91008545,0.85,3,2
"sub.541",-239.449564694197,-239.449564694197,1,1,2,2,1,1,2,2,100,4,6,9,91008546,0.85,3,2
"sub.641",-237.009084333528,-237.009084333528,2,2,1,2,2,2,1,2,100,4,7,9,91008547,0.85,3,2
"sub.741",-243.089455200806,-241.228206791188,1,3,3,2,1,2,2,1,100,4,8,9,91008548,0.85,3,2
"sub.841",-244.339097307172,-244.339097307172,3,4,1,2,3,4,1,2,100,4,9,9,91008549,0.85,3,2
"sub.941",-232.474350571467,-232.474350571467,2,2,1,2,2,2,1,2,100,4,10,9,910085410,0.85,3,2
"sub.1041",-239.82515957174,-239.82515957174,1,1,2,3,1,1,2,3,100,4,11,9,910085411,0.85,3,2
"sub.1161",-246.899253217582,-246.899253217582,2,1,1,1,2,1,1,1,100,4,12,9,910085412,0.85,3,2
"sub.1243",-229.346208277751,-229.346208277751,1,1,1,2,1,1,1,2,100,4,13,9,910085413,0.85,3,2
"sub.1341",-241.032632339899,-241.032632339899,2,3,4,1,2,3,4,1,100,4,14,9,910085414,0.85,3,2
"sub.1441",-233.408104156399,-233.408104156399,1,1,1,1,1,1,1,1,100,4,15,9,910085415,0.85,3,2
"sub.1541",-233.679710195066,-233.679710195066,1,2,3,1,1,2,3,1,100,4,16,9,910085416,0.85,3,2
"sub.1641",-225.574775797839,-225.574775797839,2,1,1,1,2,1,1,1,100,4,17,9,910085417,0.85,3,2
"sub.1741",-222.033971011023,-222.033971011023,2,2,2,1,2,2,2,1,100,4,18,9,910085418,0.85,3,2
"sub.1841",-229.833291169867,-229.833291169867,2,2,1,2,2,2,1,2,100,4,19,9,910085419,0.85,3,2
"sub.1941",-247.094384940619,-247.094384940619,1,2,3,1,1,2,3,1,100,4,20,9,910085420,0.85,3,2
"sub42",-171.169502963779,-171.169502963779,1,1,2,2,1,1,2,2,100,4,1,1,11009541,0.95,3,2
"sub.1162",-141.40627096619,-141.40627096619,1,1,1,1,1,1,1,1,100,4,2,1,11009542,0.95,3,2
"sub.242",-136.898154861991,-136.898154861991,1,1,1,1,1,1,1,1,100,4,3,1,11009543,0.95,3,2
"sub.342",-160.291174625038,-160.291174625038,1,2,1,2,1,2,1,2,100,4,4,1,11009544,0.95,3,2
"sub.442",-175.958397821053,-175.958397821053,1,2,3,3,1,2,3,3,100,4,5,1,11009545,0.95,3,2
"sub.542",-175.019994569061,-175.019994569061,1,1,1,2,1,1,1,2,100,4,6,1,11009546,0.95,3,2
"sub.642",-170.972465577676,-170.972465577676,2,2,1,2,2,2,1,2,100,4,7,1,11009547,0.95,3,2
"sub.742",-174.731195128124,-174.731195128124,1,2,1,2,1,2,1,2,100,4,8,1,11009548,0.95,3,2
"sub.842",-193.263787556232,-193.263787556232,1,4,2,3,1,4,2,3,100,4,9,1,11009549,0.95,3,2
"sub.942",-182.617259034768,-182.617259034768,1,2,2,3,1,2,2,3,100,4,10,1,110095410,0.95,3,2
"sub.1042",-161.234204984319,-161.234204984319,1,2,1,1,1,2,1,1,100,4,11,1,110095411,0.95,3,2
"sub.1163",-184.595326780446,-184.595326780446,1,2,3,2,1,2,3,2,100,4,12,1,110095412,0.95,3,2
"sub.1244",-167.469967656367,-167.469967656367,2,2,1,2,2,2,1,2,100,4,13,1,110095413,0.95,3,2
"sub.1342",-210.425641676185,-210.425641676185,1,2,3,4,1,2,3,4,100,4,14,1,110095414,0.95,3,2
"sub.1442",-183.966575245635,-183.966575245635,2,1,3,2,2,1,3,2,100,4,15,1,110095415,0.95,3,2
"sub.1542",-205.292232674193,-205.292232674193,4,2,1,3,4,2,1,3,100,4,16,1,110095416,0.95,3,2
"sub.1642",-201.362933040368,-201.362933040368,1,4,2,3,1,4,2,3,100,4,17,1,110095417,0.95,3,2
"sub.1742",-222.873356160132,-222.873356160132,1,3,2,4,1,3,2,4,100,4,18,1,110095418,0.95,3,2
"sub.1842",-176.067658333746,-176.067658333746,2,2,1,2,2,2,1,2,100,4,19,1,110095419,0.95,3,2
"sub.1942",-182.294402419253,-182.294402419253,3,2,1,3,3,2,1,3,100,4,20,1,110095420,0.95,3,2
"sub43",-196.449593754724,-196.449593754724,1,2,1,2,1,2,1,2,100,4,1,10,101009541,0.95,4,1
"sub.1164",-176.159588802577,-176.159588802577,2,1,2,2,2,1,2,2,100,4,2,10,101009542,0.95,4,1
"sub.243",-181.765912443163,-181.765912443163,2,1,1,2,2,1,1,2,100,4,3,10,101009543,0.95,4,1
"sub.343",-149.917702590476,-149.917702590476,1,2,2,2,1,2,2,2,100,4,4,10,101009544,0.95,4,1
"sub.443",-159.056353360217,-159.056353360217,1,1,1,1,1,1,1,1,100,4,5,10,101009545,0.95,4,1
"sub.543",-170.009908755547,-170.009908755547,1,1,2,2,1,1,2,2,100,4,6,10,101009546,0.95,4,1
"sub.643",-133.268852116082,-133.268852116082,1,1,1,1,1,1,1,1,100,4,7,10,101009547,0.95,4,1
"sub.743",-184.015843093825,-184.015843093825,1,1,2,2,1,1,2,2,100,4,8,10,101009548,0.95,4,1
"sub.843",-181.923447809338,-181.923447809338,1,2,1,1,1,2,1,1,100,4,9,10,101009549,0.95,4,1
"sub.943",-159.056353360217,-159.056353360217,1,1,1,1,1,1,1,1,100,4,10,10,1010095410,0.95,4,1
"sub.1043",-162.067766485058,-162.067766485058,2,2,1,1,2,2,1,1,100,4,11,10,1010095411,0.95,4,1
"sub.1165",-145.0355737121,-145.0355737121,1,1,1,1,1,1,1,1,100,4,12,10,1010095412,0.95,4,1
"sub.1245",-190.677257299863,-190.677257299863,3,3,1,2,3,3,1,2,100,4,13,10,1010095413,0.95,4,1
"sub.1343",-178.685379230352,-178.685379230352,1,2,1,1,1,2,1,1,100,4,14,10,1010095414,0.95,4,1
"sub.1443",-193.783411744837,-193.783411744837,2,3,1,3,2,3,1,3,100,4,15,10,1010095415,0.95,4,1
"sub.1543",-150.215939519378,-150.215939519378,1,2,2,2,1,2,2,2,100,4,16,10,1010095416,0.95,4,1
"sub.1643",-180.385523320841,-180.385523320841,1,2,3,2,1,2,3,2,100,4,17,10,1010095417,0.95,4,1
"sub.1743",-210.13590080658,-210.13590080658,2,3,1,3,2,3,1,3,100,4,18,10,1010095418,0.95,4,1
"sub.1843",-199.951943857165,-199.951943857165,1,1,2,3,1,1,2,3,100,4,19,10,1010095419,0.95,4,1
"sub.1943",-154.739428267402,-154.739428267402,1,1,1,1,1,1,1,1,100,4,20,10,1010095420,0.95,4,1
"sub44",-211.338654143792,-211.338654143792,2,1,3,4,2,1,3,4,100,4,1,11,111009541,0.95,3,2
"sub.1166",-167.441682258148,-167.441682258148,1,1,1,2,1,1,1,2,100,4,2,11,111009542,0.95,3,2
"sub.244",-197.178149986283,-197.178149986283,1,3,2,2,1,3,2,2,100,4,3,11,111009543,0.95,3,2
"sub.344",-167.574914745829,-167.574914745829,1,1,2,1,1,1,2,1,100,4,4,11,111009544,0.95,3,2
"sub.444",-164.695007272083,-164.695007272083,2,2,2,1,2,2,2,1,100,4,5,11,111009545,0.95,3,2
"sub.544",-160.296676565648,-160.296676565648,2,2,1,1,2,2,1,1,100,4,6,11,111009546,0.95,3,2
"sub.644",-173.113900484762,-173.113900484762,1,2,3,3,1,2,3,3,100,4,7,11,111009547,0.95,3,2
"sub.744",-196.407796375054,-196.407796375054,3,2,1,2,3,2,1,2,100,4,8,11,111009548,0.95,3,2
"sub.844",-208.868294974819,-208.868294974819,1,2,3,4,1,2,3,4,100,4,9,11,111009549,0.95,3,2
"sub.944",-173.110622516951,-173.110622516951,2,1,2,2,2,1,2,2,100,4,10,11,1110095410,0.95,3,2
"sub.1044",-199.416040496331,-199.416040496331,2,1,2,1,2,1,2,1,100,4,11,11,1110095411,0.95,3,2
"sub.1167",-192.330450701417,-192.330450701417,1,3,2,1,1,3,2,1,100,4,12,11,1110095412,0.95,3,2
"sub.1246",-201.997491838251,-201.997491838251,3,2,1,1,3,2,1,1,100,4,13,11,1110095413,0.95,3,2
"sub.1344",-172.735929167157,-172.735929167157,1,2,1,2,1,2,1,2,100,4,14,11,1110095414,0.95,3,2
"sub.1444",-193.265385959992,-193.265385959992,3,1,2,3,3,1,2,3,100,4,15,11,1110095415,0.95,3,2
"sub.1544",-188.900528627856,-188.900528627856,2,2,1,1,2,2,1,1,100,4,16,11,1110095416,0.95,3,2
"sub.1644",-193.28673682202,-193.28673682202,3,1,1,2,3,1,1,2,100,4,17,11,1110095417,0.95,3,2
"sub.1744",-186.35188919847,-186.35188919847,1,3,2,1,1,3,2,1,100,4,18,11,1110095418,0.95,3,2
"sub.1844",-164.939714158226,-164.939714158226,1,1,1,1,1,1,1,1,100,4,19,11,1110095419,0.95,3,2
"sub.1944",-200.988023752598,-200.988023752598,1,2,3,2,1,2,3,2,100,4,20,11,1110095420,0.95,3,2
"sub45",-129.639549370172,-129.639549370172,1,1,1,1,1,1,1,1,100,4,1,12,121009541,0.95,3,2
"sub.1168",-182.248463493448,-182.248463493448,1,1,1,2,1,1,1,2,100,4,2,12,121009542,0.95,3,2
"sub.245",-204.078528222487,-204.078528222487,3,4,1,2,3,4,1,2,100,4,3,12,121009543,0.95,3,2
"sub.345",-169.509315795244,-169.509315795244,2,2,1,1,2,2,1,1,100,4,4,12,121009544,0.95,3,2
"sub.445",-181.539372792135,-181.539372792135,1,2,2,3,1,2,2,3,100,4,5,12,121009545,0.95,3,2
"sub.545",-170.25887537748,-170.25887537748,1,2,1,1,1,2,1,1,100,4,6,12,121009546,0.95,3,2
"sub.645",-193.811395620562,-193.811395620562,1,2,3,4,1,2,3,4,100,4,7,12,121009547,0.95,3,2
"sub.745",-175.901593941949,-175.901593941949,1,1,1,2,1,1,1,2,100,4,8,12,121009548,0.95,3,2
"sub.845",-188.226189960451,-188.226189960451,2,1,1,3,2,1,1,3,100,4,9,12,121009549,0.95,3,2
"sub.945",-185.843636801268,-185.843636801268,1,3,2,1,1,3,2,1,100,4,10,12,1210095410,0.95,3,2
"sub.1045",-221.347254728769,-221.347254728769,3,1,2,4,3,1,2,4,100,4,11,12,1210095411,0.95,3,2
"sub.1169",-189.693052054456,-189.693052054456,2,3,3,1,2,3,3,1,100,4,12,12,1210095412,0.95,3,2
"sub.1247",-184.448387081769,-184.448387081769,2,1,3,2,2,1,3,2,100,4,13,12,1210095413,0.95,3,2
"sub.1345",-176.772663509472,-176.772663509472,1,3,2,1,1,3,2,1,100,4,14,12,1210095414,0.95,3,2
"sub.1445",-139.839835260996,-139.839835260996,1,1,1,1,1,1,1,1,100,4,15,12,1210095415,0.95,3,2
"sub.1545",-153.860614909113,-153.860614909113,1,1,1,1,1,1,1,1,100,4,16,12,1210095416,0.95,3,2
"sub.1645",-214.838831909146,-214.838831909146,2,3,2,1,2,3,2,1,100,4,17,12,1210095417,0.95,3,2
"sub.1745",-180.603567264626,-180.603567264626,2,2,1,1,2,2,1,1,100,4,18,12,1210095418,0.95,3,2
"sub.1845",-185.748856125026,-185.748856125026,3,1,2,1,3,1,2,1,100,4,19,12,1210095419,0.95,3,2
"sub.1945",-180.871986805847,-180.871986805847,2,2,1,1,2,2,1,1,100,4,20,12,1210095420,0.95,3,2
"sub46",-184.793964872978,-184.793964872978,2,3,1,2,2,3,1,2,100,4,1,13,131009541,0.95,3,2
"sub.1170",-167.267638055497,-167.267638055497,2,1,2,1,2,1,2,1,100,4,2,13,131009542,0.95,3,2
"sub.246",-180.969071085658,-180.969071085658,2,2,1,2,2,2,1,2,100,4,3,13,131009543,0.95,3,2
"sub.346",-181.285244626812,-181.285244626812,1,2,3,3,1,2,3,3,100,4,4,13,131009544,0.95,3,2
"sub.446",-192.888373842516,-192.888373842516,2,1,2,3,2,1,2,3,100,4,5,13,131009545,0.95,3,2
"sub.546",-165.491046195477,-165.491046195477,1,2,2,1,1,2,2,1,100,4,6,13,131009546,0.95,3,2
"sub.646",-197.436723495416,-197.436723495416,1,2,1,3,1,2,1,3,100,4,7,13,131009547,0.95,3,2
"sub.746",-199.490223125525,-199.490223125525,2,1,1,3,2,1,1,3,100,4,8,13,131009548,0.95,3,2
"sub.846",-178.901928585322,-178.901928585322,1,1,1,2,1,1,1,2,100,4,9,13,131009549,0.95,3,2
"sub.946",-161.779017205296,-161.779017205296,1,2,1,1,1,2,1,1,100,4,10,13,1310095410,0.95,3,2
"sub.1046",-181.918850196222,-181.918850196222,2,1,1,1,2,1,1,1,100,4,11,13,1310095411,0.95,3,2
"sub.1171",-172.994643332677,-172.994643332677,1,1,2,1,1,1,2,1,100,4,12,13,1310095412,0.95,3,2
"sub.1248",-173.000296725936,-173.000296725936,2,1,1,1,2,1,1,1,100,4,13,13,1310095413,0.95,3,2
"sub.1346",-136.898154861991,-136.898154861991,1,1,1,1,1,1,1,1,100,4,14,13,1310095414,0.95,3,2
"sub.1446",-169.396291776777,-169.396291776777,1,1,1,2,1,1,1,2,100,4,15,13,1310095415,0.95,3,2
"sub.1546",-160.086255375617,-160.086255375617,1,2,1,2,1,2,1,2,100,4,16,13,1310095416,0.95,3,2
"sub.1646",-189.111563535246,-189.111563535246,1,3,1,2,1,3,1,2,100,4,17,13,1310095417,0.95,3,2
"sub.1746",-200.012432532299,-200.012432532299,3,2,2,1,3,2,2,1,100,4,18,13,1310095418,0.95,3,2
"sub.1846",-168.715303367054,-168.715303367054,2,1,3,2,2,1,3,2,100,4,19,13,1310095419,0.95,3,2
"sub.1946",-161.583474289285,-161.583474289285,1,2,1,1,1,2,1,1,100,4,20,13,1310095420,0.95,3,2
"sub47",-163.825305849663,-163.825305849663,1,3,1,2,1,3,1,2,100,4,1,14,141009541,0.95,4,1
"sub.1172",-206.009878291419,-206.009878291419,3,2,1,4,3,2,1,4,100,4,2,14,141009542,0.95,4,1
"sub.247",-185.29377524265,-185.29377524265,3,2,1,3,3,2,1,3,100,4,3,14,141009543,0.95,4,1
"sub.347",-153.35296924546,-153.35296924546,1,2,2,1,1,2,2,1,100,4,4,14,141009544,0.95,4,1
"sub.447",-189.487453994581,-189.487453994581,1,2,3,1,1,2,3,1,100,4,5,14,141009545,0.95,4,1
"sub.547",-191.953448252294,-191.953448252294,3,1,2,2,3,1,2,2,100,4,6,14,141009546,0.95,4,1
"sub.647",-196.418278256143,-196.418278256143,2,2,3,1,2,2,3,1,100,4,7,14,141009547,0.95,4,1
"sub.747",-159.005726910201,-159.005726910201,2,2,2,1,2,2,2,1,100,4,8,14,141009548,0.95,4,1
"sub.847",-179.189155910983,-179.189155910983,1,1,2,2,1,1,2,2,100,4,9,14,141009549,0.95,4,1
"sub.947",-188.023902007912,-188.023902007912,2,1,1,1,2,1,1,1,100,4,10,14,1410095410,0.95,4,1
"sub.1047",-205.216005978918,-205.216005978918,4,2,1,3,4,2,1,3,100,4,11,14,1410095411,0.95,4,1
"sub.1173",-181.585626807177,-181.585626807177,1,1,1,2,1,1,1,2,100,4,12,14,1410095412,0.95,4,1
"sub.1249",-199.036841312,-199.036841312,2,3,2,1,2,3,2,1,100,4,13,14,1410095413,0.95,4,1
"sub.1347",-166.814900094073,-166.814900094073,2,2,1,2,2,2,1,2,100,4,14,14,1410095414,0.95,4,1
"sub.1447",-170.526821988958,-170.526821988958,2,2,2,1,2,2,2,1,100,4,15,14,1410095415,0.95,4,1
"sub.1547",-176.91748158266,-176.91748158266,2,1,1,1,2,1,1,1,100,4,16,14,1410095416,0.95,4,1
"sub.1647",-189.28040140651,-189.28040140651,1,2,1,1,1,2,1,1,100,4,17,14,1410095417,0.95,4,1
"sub.1747",-173.965994858147,-173.965994858147,1,2,3,3,1,2,3,3,100,4,18,14,1410095418,0.95,4,1
"sub.1847",-194.824330327764,-194.824330327764,4,2,3,1,4,2,3,1,100,4,19,14,1410095419,0.95,4,1
"sub.1947",-197.130855739434,-197.130855739434,3,2,1,4,3,2,1,4,100,4,20,14,1410095420,0.95,4,1
"sub48",-175.907039624795,-175.907039624795,1,2,2,1,1,2,2,1,100,4,1,15,151009541,0.95,2,3
"sub.1174",-150.918934510109,-150.918934510109,1,1,1,1,1,1,1,1,100,4,2,15,151009542,0.95,2,3
"sub.248",-188.598046267841,-188.598046267841,2,1,1,3,2,1,1,3,100,4,3,15,151009543,0.95,2,3
"sub.348",-174.021700414053,-174.021700414053,2,2,1,2,2,2,1,2,100,4,4,15,151009544,0.95,2,3
"sub.448",-187.452622122379,-187.452622122379,1,2,1,2,1,2,1,2,100,4,5,15,151009545,0.95,2,3
"sub.548",-156.202132479268,-156.202132479268,2,1,2,2,2,1,2,2,100,4,6,15,151009546,0.95,2,3
"sub.648",-183.992822558122,-183.992822558122,1,1,3,2,1,1,3,2,100,4,7,15,151009547,0.95,2,3
"sub.748",-144.347951365195,-144.347951365195,1,1,1,1,1,1,1,1,100,4,8,15,151009548,0.95,2,3
"sub.848",-148.664876458009,-148.664876458009,1,1,1,1,1,1,1,1,100,4,9,15,151009549,0.95,2,3
"sub.948",-173.148263102915,-173.148263102915,1,2,1,2,1,2,1,2,100,4,10,15,1510095410,0.95,2,3
"sub.1048",-162.189224770606,-162.189224770606,1,1,1,1,1,1,1,1,100,4,11,15,1510095411,0.95,2,3
"sub.1175",-175.679522398618,-175.679522398618,2,1,2,2,2,1,2,2,100,4,12,15,1510095412,0.95,2,3
"sub.1250",-182.385816722976,-182.385816722976,2,3,2,1,2,3,2,1,100,4,13,15,1510095413,0.95,2,3
"sub.1348",-201.629130818797,-201.629130818797,3,1,3,2,3,1,3,2,100,4,14,15,1510095414,0.95,2,3
"sub.1448",-188.162525479055,-188.162525479055,1,2,2,2,1,2,2,2,100,4,15,15,1510095415,0.95,2,3
"sub.1548",-214.075932340828,-214.075932340828,1,3,4,2,1,3,4,2,100,4,16,15,1510095416,0.95,2,3
"sub.1648",-201.855716510412,-201.855716510412,1,2,3,4,1,2,3,4,100,4,17,15,1510095417,0.95,2,3
"sub.1748",-189.4148578806,-189.4148578806,2,2,3,1,2,2,3,1,100,4,18,15,1510095418,0.95,2,3
"sub.1848",-173.371337105955,-173.371337105955,1,1,1,2,1,1,1,2,100,4,19,15,1510095419,0.95,2,3
"sub.1948",-200.050477692104,-200.050477692104,1,2,2,3,1,2,2,3,100,4,20,15,1510095420,0.95,2,3
"sub49",-150.918934510109,-150.918934510109,1,1,1,1,1,1,1,1,100,4,1,16,161009541,0.95,3,2
"sub.1176",-161.737171943988,-161.737171943988,2,1,2,2,2,1,2,2,100,4,2,16,161009542,0.95,3,2
"sub.249",-161.743344015887,-161.743344015887,1,1,2,1,1,1,2,1,100,4,3,16,161009543,0.95,3,2
"sub.349",-176.963325874696,-176.963325874696,1,2,3,1,1,2,3,1,100,4,4,16,161009544,0.95,3,2
"sub.449",-182.835971011188,-182.835971011188,3,1,2,3,3,1,2,3,100,4,5,16,161009545,0.95,3,2
"sub.549",-184.842491913873,-184.842491913873,2,2,1,3,2,2,1,3,100,4,6,16,161009546,0.95,3,2
"sub.649",-175.171522275105,-175.171522275105,1,2,1,2,1,2,1,2,100,4,7,16,161009547,0.95,3,2
"sub.749",-176.062942957813,-176.062942957813,2,1,3,2,2,1,3,2,100,4,8,16,161009548,0.95,3,2
"sub.849",-169.996961521525,-169.996961521525,2,1,2,2,2,1,2,2,100,4,9,16,161009549,0.95,3,2
"sub.949",-205.396287933205,-205.396287933205,2,4,1,3,2,4,1,3,100,4,10,16,1610095410,0.95,3,2
